source,native,name,p_value,significant,description,term_size,query_size,intersection_size,effective_domain_size,precision,recall,query,parents
GO:BP,GO:0010817,regulation of hormone levels,4.899590760962375e-05,True,"""Any process that modulates the levels of hormone within an organism or a tissue. A hormone is any substance formed in very small amounts in one specialized organ or group of cells and carried (sometimes in the bloodstream) to another organ or group of cells in the same organism, upon which it has a specific regulatory action."" [GOC:BHF, GOC:dph, GOC:tb]",556,731,47,21026,0.06429548563611491,0.08453237410071943,query_1,['GO:0065008']
KEGG,KEGG:04151,PI3K-Akt signaling pathway,5.036237359982458e-05,True,PI3K-Akt signaling pathway,356,379,38,8484,0.10026385224274406,0.10674157303370786,query_1,['KEGG:00000']
GO:BP,GO:0031424,keratinization,5.430212441328311e-05,True,"""The process in which the cytoplasm of the outermost cells of the vertebrate epidermis is replaced by keratin. Keratinization occurs in the stratum corneum, feathers, hair, claws, nails, hooves, and horns."" [GOC:dph, GOC:ebc, GOC:sdb_2009, GOC:tb]",83,731,16,21026,0.02188782489740082,0.1927710843373494,query_1,"['GO:0030216', 'GO:0032501']"
GO:BP,GO:0009967,positive regulation of signal transduction,5.833440139145391e-05,True,"""Any process that activates or increases the frequency, rate or extent of signal transduction."" [GOC:sm]",1578,731,97,21026,0.1326949384404925,0.0614702154626109,query_1,"['GO:0007165', 'GO:0009966', 'GO:0010647', 'GO:0023056', 'GO:0048584']"
GO:BP,GO:0051049,regulation of transport,7.230900027596752e-05,True,"""Any process that modulates the frequency, rate or extent of the directed movement of substances (such as macromolecules, small molecules, ions) into, out of or within a cell, or between cells, by means of some agent such as a transporter or pore."" [GOC:ai]",1607,731,98,21026,0.13406292749658003,0.060983198506533914,query_1,"['GO:0006810', 'GO:0032879']"
GO:BP,GO:0042698,ovulation cycle,7.326666633542553e-05,True,"""The type of sexual cycle seen in females, often with physiologic changes in the endometrium that recur at regular intervals during the reproductive years."" [ISBN:0721662544]",74,731,15,21026,0.02051983584131327,0.20270270270270271,query_1,"['GO:0048511', 'GO:0048609']"
GO:BP,GO:0003073,regulation of systemic arterial blood pressure,7.50289693907131e-05,True,"""The process that modulates the force with which blood travels through the systemic arterial circulatory system. The process is controlled by a balance of processes that increase pressure and decrease pressure."" [GOC:mtg_cardio]",96,731,17,21026,0.023255813953488372,0.17708333333333334,query_1,['GO:0008217']
GO:BP,GO:0060047,heart contraction,7.77774780675341e-05,True,"""The multicellular organismal process in which the heart decreases in volume in a characteristic way to propel blood through the body."" [GOC:dph]",244,731,28,21026,0.038303693570451436,0.11475409836065574,query_1,"['GO:0003015', 'GO:0008015']"
GO:BP,GO:0051897,positive regulation of phosphatidylinositol 3-kinase/protein kinase B signal transduction,7.917188108412949e-05,True,"""Any process that activates or increases the frequency, rate or extent of phosphatidylinositol 3-kinase/protein kinase B signal transduction."" [GOC:ai]",186,731,24,21026,0.03283173734610123,0.12903225806451613,query_1,"['GO:0043491', 'GO:0051896', 'GO:1902533']"
GO:BP,GO:0051128,regulation of cellular component organization,8.16638998323164e-05,True,"""Any process that modulates the frequency, rate or extent of a process involved in the formation, arrangement of constituent parts, or disassembly of cell structures, including the plasma membrane and any external encapsulating structures such as the cell wall and cell envelope."" [GOC:ai]",2433,731,134,21026,0.18331053351573187,0.05507603781339909,query_1,"['GO:0016043', 'GO:0050794']"
GO:BP,GO:0035249,"synaptic transmission, glutamatergic",9.186227950395772e-05,True,"""The vesicular release of glutamate from a presynapse, across a chemical synapse, the subsequent activation of glutamate receptors at the postsynapse of a target cell (neuron, muscle, or secretory cell) and the effects of this activation on the postsynaptic membrane potential and ionic composition of the postsynaptic cytosol. This process encompasses both spontaneous and evoked release of neurotransmitter and all parts of synaptic vesicle exocytosis. Evoked transmission starts with the arrival of an action potential at the presynapse."" [GOC:dos]",109,731,18,21026,0.024623803009575923,0.1651376146788991,query_1,['GO:0007268']
GO:BP,GO:0048871,multicellular organismal-level homeostasis,0.00013870649504928715,True,"""Any process involved in the maintenance of an internal steady state at the level of the multicellular organism."" [GOC:isa_complete]",825,731,60,21026,0.08207934336525308,0.07272727272727272,query_1,"['GO:0032501', 'GO:0042592']"
GO:BP,GO:0051384,response to glucocorticoid,0.00013936117488898408,True,"""Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a glucocorticoid stimulus. Glucocorticoids are hormonal C21 corticosteroids synthesized from cholesterol with the ability to bind with the cortisol receptor and trigger similar effects. Glucocorticoids act primarily on carbohydrate and protein metabolism, and have anti-inflammatory effects."" [GOC:ai, PMID:9884123]",137,731,20,21026,0.027359781121751026,0.145985401459854,query_1,['GO:0031960']
GO:BP,GO:0045596,negative regulation of cell differentiation,0.00015044027761754828,True,"""Any process that stops, prevents, or reduces the frequency, rate or extent of cell differentiation."" [GOC:go_curators]",671,731,52,21026,0.07113543091655267,0.07749627421758569,query_1,"['GO:0030154', 'GO:0045595', 'GO:0048523', 'GO:0051093']"
GO:BP,GO:1901342,regulation of vasculature development,0.0001544253673387625,True,"""Any process that modulates the frequency, rate or extent of vasculature development."" [GOC:TermGenie]",299,731,31,21026,0.04240766073871409,0.10367892976588629,query_1,"['GO:0001944', 'GO:2000026']"
GO:BP,GO:0003015,heart process,0.00016940393269142942,True,"""A circulatory system process carried out by the heart. The heart is a hollow, muscular organ, which, by contracting rhythmically, keeps up the circulation of the blood. The heart is a hollow, muscular organ, which, by contracting rhythmically, keeps up the circulation of the blood."" [GOC:mtg_cardio]",253,731,28,21026,0.038303693570451436,0.11067193675889328,query_1,['GO:0003013']
GO:BP,GO:1901698,response to nitrogen compound,0.00020930454047518295,True,"""Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a nitrogen compound stimulus."" [GOC:pr, GOC:TermGenie]",1080,731,72,21026,0.09849521203830369,0.06666666666666667,query_1,['GO:0042221']
GO:BP,GO:0030900,forebrain development,0.00024063400669550696,True,"""The process whose specific outcome is the progression of the forebrain over time, from its formation to the mature structure. The forebrain is the anterior of the three primary divisions of the developing chordate brain or the corresponding part of the adult brain (in vertebrates, includes especially the cerebral hemispheres, the thalamus, and the hypothalamus and especially in higher vertebrates is the main control center for sensory and associative information processing, visceral functions, and voluntary motor functions)."" [PMID:4975589, PMID:4992177]",423,731,38,21026,0.05198358413132695,0.08983451536643026,query_1,"['GO:0007420', 'GO:0048856']"
GO:BP,GO:0007423,sensory organ development,0.00024440817944179416,True,"""The process whose specific outcome is the progression of sensory organs over time, from its formation to the mature structure."" [GOC:go_curators]",624,731,49,21026,0.06703146374829001,0.07852564102564102,query_1,['GO:0048513']
GO:BP,GO:0050886,endocrine process,0.00024748337223574456,True,"""The process that involves the secretion of or response to endocrine hormones. An endocrine hormone is a hormone released into the circulatory system."" [ISBN:0721662544]",92,731,16,21026,0.02188782489740082,0.17391304347826086,query_1,['GO:0003008']
GO:BP,GO:0031589,cell-substrate adhesion,0.000267662716193179,True,"""The attachment of a cell to the underlying substrate via adhesion molecules."" [GOC:mah, GOC:pf]",356,731,34,21026,0.046511627906976744,0.09550561797752809,query_1,['GO:0007155']
GO:BP,GO:0030030,cell projection organization,0.0002844478752217152,True,"""A process that is carried out at the cellular level which results in the assembly, arrangement of constituent parts, or disassembly of a prolongation or process extending from a cell, e.g. a flagellum or axon."" [GOC:jl, GOC:mah, PMID:16318917]",1631,731,97,21026,0.1326949384404925,0.05947271612507664,query_1,['GO:0016043']
GO:BP,GO:0014033,neural crest cell differentiation,0.00028939778485466346,True,"""The process in which a relatively unspecialized cell acquires specialized features of a neural crest cell."" [GOC:dh, GOC:ef]",93,731,16,21026,0.02188782489740082,0.17204301075268819,query_1,"['GO:0048762', 'GO:0048863']"
GO:BP,GO:0006939,smooth muscle contraction,0.0002947502064985256,True,"""A process in which force is generated within smooth muscle tissue, resulting in a change in muscle geometry. Force generation involves a chemo-mechanical energy conversion step that is carried out by the actin/myosin complex activity, which generates force through ATP hydrolysis. Smooth muscle differs from striated muscle in the much higher actin/myosin ratio, the absence of conspicuous sarcomeres and the ability to contract to a much smaller fraction of its resting length."" [GOC:ef, GOC:jl, GOC:mtg_muscle, ISBN:0198506732]",105,731,17,21026,0.023255813953488372,0.1619047619047619,query_1,['GO:0006936']
GO:BP,GO:0048585,negative regulation of response to stimulus,0.0003205656001545774,True,"""Any process that stops, prevents, or reduces the frequency, rate or extent of a response to a stimulus. Response to stimulus is a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a stimulus."" [GOC:jid]",1680,731,99,21026,0.1354309165526676,0.05892857142857143,query_1,"['GO:0048519', 'GO:0048583', 'GO:0050896']"
GO:BP,GO:0097305,response to alcohol,0.0003322538828519903,True,"""Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of an alcohol stimulus."" [GOC:pr, PMID:24014527]",277,731,29,21026,0.03967168262653899,0.10469314079422383,query_1,['GO:1901700']
GO:BP,GO:0019752,carboxylic acid metabolic process,0.00034098071531729786,True,"""The chemical reactions and pathways involving carboxylic acids, any organic acid containing one or more carboxyl (COOH) groups or anions (COO-)."" [ISBN:0198506732]",887,731,62,21026,0.08481532147742818,0.06989853438556934,query_1,['GO:0043436']
GO:BP,GO:0043436,oxoacid metabolic process,0.0003640463435944398,True,"""The chemical reactions and pathways involving any oxoacid; an oxoacid is a compound which contains oxygen, at least one other element, and at least one hydrogen bound to oxygen, and which produces a conjugate base by loss of positive hydrogen ion(s) (hydrons)."" [Wikipedia:Oxyacid]",909,731,63,21026,0.08618331053351573,0.06930693069306931,query_1,['GO:0006082']
GO:BP,GO:0031960,response to corticosteroid,0.000379799705967385,True,"""Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a corticosteroid hormone stimulus. A corticosteroid is a steroid hormone that is produced in the adrenal cortex. Corticosteroids are involved in a wide range of physiologic systems such as stress response, immune response and regulation of inflammation, carbohydrate metabolism, protein catabolism, blood electrolyte levels, and behavior. They include glucocorticoids and mineralocorticoids."" [GOC:mah, PMID:11027914]",159,731,21,21026,0.028727770177838577,0.1320754716981132,query_1,['GO:0048545']
GO:BP,GO:0051962,positive regulation of nervous system development,0.0004142272173955534,True,"""Any process that activates, maintains or increases the frequency, rate or extent of nervous system development, the origin and formation of nervous tissue."" [GOC:ai]",296,731,30,21026,0.04103967168262654,0.10135135135135136,query_1,"['GO:0007399', 'GO:0051094', 'GO:0051240', 'GO:0051960']"
GO:BP,GO:0043010,camera-type eye development,0.00042586958957873696,True,"""The process whose specific outcome is the progression of the camera-type eye over time, from its formation to the mature structure. The camera-type eye is an organ of sight that receives light through an aperture and focuses it through a lens, projecting it on a photoreceptor field."" [GOC:go_curators, GOC:mtg_sensu]",363,731,34,21026,0.046511627906976744,0.09366391184573003,query_1,['GO:0001654']
GO:BP,GO:0042592,homeostatic process,0.00043438086882527675,True,"""Any biological process involved in the maintenance of an internal steady state."" [GOC:jl, ISBN:0395825172]",1736,731,101,21026,0.1381668946648427,0.058179723502304145,query_1,['GO:0008150']
GO:BP,GO:0006082,organic acid metabolic process,0.0004593251027501045,True,"""The chemical reactions and pathways involving organic acids, any acidic compound containing carbon in covalent linkage."" [ISBN:0198506732]",915,731,63,21026,0.08618331053351573,0.06885245901639345,query_1,['GO:0044281']
GO:BP,GO:0032870,cellular response to hormone stimulus,0.0004779254185471616,True,"""Any process that results in a change in state or activity of a cell (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a hormone stimulus."" [GOC:mah]",638,731,49,21026,0.06703146374829001,0.0768025078369906,query_1,"['GO:0009725', 'GO:0070887', 'GO:0071495']"
GO:BP,GO:0050803,regulation of synapse structure or activity,0.0005366245986266803,True,"""Any process that modulates the physical form or the activity of a synapse, the junction between a neuron and a target (neuron, muscle, or secretory cell)."" [GOC:ai]",316,731,31,21026,0.04240766073871409,0.0981012658227848,query_1,['GO:0065008']
GO:BP,GO:0098742,cell-cell adhesion via plasma-membrane adhesion molecules,0.0005660717069964213,True,"""The attachment of one cell to another cell via adhesion molecules that are at least partially embedded in the plasma membrane."" [GOC:dos]",284,731,29,21026,0.03967168262653899,0.10211267605633803,query_1,['GO:0098609']
GO:BP,GO:0120036,plasma membrane bounded cell projection organization,0.0005669622258931864,True,"""A process that is carried out at the cellular level which results in the assembly, arrangement of constituent parts, or disassembly of a plasma membrane bounded prolongation or process extending from a cell, e.g. a cilium or axon."" [GOC:krc]",1588,731,94,21026,0.12859097127222982,0.05919395465994962,query_1,['GO:0030030']
GO:BP,GO:0023057,negative regulation of signaling,0.0006106768789498925,True,"""Any process that stops, prevents, or reduces the frequency, rate or extent of a signaling process."" [GOC:mtg_signal]",1435,731,87,21026,0.11901504787961696,0.06062717770034843,query_1,"['GO:0023051', 'GO:0023052', 'GO:0048519']"
GO:BP,GO:0010648,negative regulation of cell communication,0.0006292061824959447,True,"""Any process that decreases the frequency, rate or extent of cell communication. Cell communication is the process that mediates interactions between a cell and its surroundings. Encompasses interactions such as signaling or attachment between one cell and another cell, between a cell and an extracellular matrix, or between a cell and any other aspect of its environment."" [GOC:dph, GOC:tb]",1436,731,87,21026,0.11901504787961696,0.060584958217270196,query_1,"['GO:0007154', 'GO:0010646', 'GO:0048523']"
GO:BP,GO:0003044,regulation of systemic arterial blood pressure mediated by a chemical signal,0.0006833832354695287,True,"""The regulation of blood pressure mediated by biochemical signaling: hormonal, autocrine or paracrine."" [GOC:mtg_cardio]",45,731,11,21026,0.015047879616963064,0.24444444444444444,query_1,['GO:0003073']
GO:BP,GO:0042310,vasoconstriction,0.0006952141064518469,True,"""A decrease in the diameter of blood vessels, especially arteries, due to constriction of smooth muscle cells that line the vessels, and usually causing an increase in blood pressure."" [GOC:pr, ISBN:0192800752]",87,731,15,21026,0.02051983584131327,0.1724137931034483,query_1,['GO:0097746']
GO:BP,GO:0019216,regulation of lipid metabolic process,0.0007087880456420456,True,"""Any process that modulates the frequency, rate or extent of the chemical reactions and pathways involving lipids."" [GOC:go_curators]",320,731,31,21026,0.04240766073871409,0.096875,query_1,"['GO:0006629', 'GO:0080090']"
GO:BP,GO:0050806,positive regulation of synaptic transmission,0.0007685617335888781,True,"""Any process that activates or increases the frequency, rate or extent of synaptic transmission, the process of communication from a neuron to a target (neuron, muscle, or secretory cell) across a synapse."" [GOC:ai]",180,731,22,21026,0.030095759233926128,0.12222222222222222,query_1,"['GO:0007268', 'GO:0010647', 'GO:0023056', 'GO:0050804']"
GO:BP,GO:0035556,intracellular signal transduction,0.0007826438050490773,True,"""The process in which a signal is passed on to downstream components within the cell, which become activated themselves to further propagate the signal and finally trigger a change in the function or state of the cell."" [GOC:bf, GOC:jl, GOC:signaling, ISBN:3527303782]",2965,731,152,21026,0.2079343365253078,0.051264755480607084,query_1,['GO:0007165']
GO:BP,GO:0048880,sensory system development,0.000821720294490641,True,"""The process whose specific outcome is the progression of a sensory system over time from its formation to the mature structure."" [GOC:dgh]",426,731,37,21026,0.0506155950752394,0.08685446009389672,query_1,['GO:0048731']
GO:BP,GO:0090066,regulation of anatomical structure size,0.000890926048069628,True,"""Any process that modulates the size of an anatomical structure."" [GOC:dph, GOC:tb]",500,731,41,21026,0.0560875512995896,0.082,query_1,['GO:0065008']
GO:BP,GO:0071396,cellular response to lipid,0.0008942067247331155,True,"""Any process that results in a change in state or activity of a cell (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a lipid stimulus."" [GOC:mah]",613,731,47,21026,0.06429548563611491,0.0766721044045677,query_1,"['GO:0033993', 'GO:0070887']"
GO:BP,GO:0048729,tissue morphogenesis,0.0009370043305761071,True,"""The process in which the anatomical structures of a tissue are generated and organized."" [GOC:dph, GOC:jid]",614,731,47,21026,0.06429548563611491,0.07654723127035831,query_1,"['GO:0009653', 'GO:0009888']"
GO:BP,GO:0023061,signal release,0.0009389406938121233,True,"""The process in which a signal is secreted or discharged into the extracellular medium from a cellular source."" [GOC:mtg_signal]",501,731,41,21026,0.0560875512995896,0.08183632734530938,query_1,"['GO:0007267', 'GO:0032940']"
GO:BP,GO:0060537,muscle tissue development,0.0010339170327272652,True,"""The progression of muscle tissue over time, from its initial formation to its mature state. Muscle tissue is a contractile tissue made up of actin and myosin fibers."" [GOC:dph]",430,731,37,21026,0.0506155950752394,0.08604651162790698,query_1,['GO:0009888']
GO:BP,GO:0019229,regulation of vasoconstriction,0.0010418620028375294,True,"""Any process that modulates the frequency, rate or extent of reductions in the diameter of blood vessels."" [GOC:jl]",67,731,13,21026,0.017783857729138167,0.19402985074626866,query_1,"['GO:0042310', 'GO:0097746', 'GO:1903522']"
GO:BP,GO:0045765,regulation of angiogenesis,0.0010914222897122521,True,"""Any process that modulates the frequency, rate or extent of angiogenesis."" [GOC:go_curators]",293,731,29,21026,0.03967168262653899,0.09897610921501707,query_1,"['GO:0001525', 'GO:0022603', 'GO:1901342']"
GO:BP,GO:1901654,response to ketone,0.0010952671679523415,True,"""A response that results in a state of tolerance to ketone."" [GOC:mengo_curators, PMID:23356676]",229,731,25,21026,0.03419972640218878,0.1091703056768559,query_1,['GO:1901700']
GO:BP,GO:0046189,phenol-containing compound biosynthetic process,0.0011005960754424421,True,"""The chemical reactions and pathways resulting in the formation of a phenol, any compound containing one or more hydroxyl groups directly attached to an aromatic carbon ring."" [GOC:ai]",47,731,11,21026,0.015047879616963064,0.23404255319148937,query_1,"['GO:0009058', 'GO:0018958']"
GO:BP,GO:0001990,regulation of systemic arterial blood pressure by hormone,0.0011298002663001547,True,"""The process in which hormones modulate the force with which blood passes through the circulatory system. A hormone is one of a group of substances formed in very small amounts in one specialized organ or group of cells and carried (sometimes in the bloodstream) to another organ or group of cells, in the same organism, upon which they have a specific regulatory action."" [GOC:mtg_cardio, ISBN:0721643949]",38,731,10,21026,0.013679890560875513,0.2631578947368421,query_1,"['GO:0003044', 'GO:0050886']"
GO:BP,GO:0001755,neural crest cell migration,0.0011410317199999729,True,"""The characteristic movement of cells from the dorsal ridge of the neural tube to a variety of locations in a vertebrate embryo."" [GOC:ascb_2009, GOC:dph, GOC:tb, ISBN:0878932437]",57,731,12,21026,0.016415868673050615,0.21052631578947367,query_1,"['GO:0014032', 'GO:0090497']"
GO:BP,GO:0001654,eye development,0.00121893476690778,True,"""The process whose specific outcome is the progression of the eye over time, from its formation to the mature structure. The eye is the organ of sight."" [GOC:jid, GOC:jl]",415,731,36,21026,0.049247606019151846,0.08674698795180723,query_1,"['GO:0007423', 'GO:0150063']"
GO:BP,GO:0044281,small molecule metabolic process,0.0012658250434864746,True,"""The chemical reactions and pathways involving small molecules, any low molecular weight, monomeric, non-encoded molecule."" [GOC:curators, GOC:pde, GOC:vw]",1776,731,101,21026,0.1381668946648427,0.05686936936936937,query_1,['GO:0008152']
GO:BP,GO:0022612,gland morphogenesis,0.001424724921527457,True,"""The process in which the anatomical structures of a gland are generated and organized."" [GOC:isa_complete]",130,731,18,21026,0.024623803009575923,0.13846153846153847,query_1,"['GO:0009887', 'GO:0048732']"
GO:BP,GO:0014032,neural crest cell development,0.0014279666384963887,True,"""The process aimed at the progression of a neural crest cell over time, from initial commitment of the cell to its specific fate, to the fully functional differentiated cell."" [GOC:dh, GOC:ef]",80,731,14,21026,0.019151846785225718,0.175,query_1,"['GO:0014033', 'GO:0048864']"
GO:BP,GO:0150063,visual system development,0.001532938603070334,True,"""The process whose specific outcome is the progression of the visual system over time, from its formation to the mature structure, including the eye, parts of the central nervous system (CNS) involved in processing of visual inputs, and connecting nerve pathways."" [GOC:aruk, GOC:bc, GOC:krc, PMID:15004427, PMID:20647017, PMID:22632727]",419,731,36,21026,0.049247606019151846,0.08591885441527446,query_1,['GO:0048880']
GO:BP,GO:0043491,phosphatidylinositol 3-kinase/protein kinase B signal transduction,0.0016623928743407712,True,"""An intracellular signaling cassette that starts with phosphatidylinositol 3-kinase (PI3K) activation, production of phosphatidylinositol 3-phosphate (PI3P), activation of PDK1, which recruits and ending with the activation of protein kinase B (PKB, also known as Akt). PI3K is activated by cell surface receptors. Note that PTEN is an inhibitor of the pathway."" [PMID:20517722, PMID:22952397]",299,731,29,21026,0.03967168262653899,0.09698996655518395,query_1,['GO:0141124']
GO:BP,GO:0090497,mesenchymal cell migration,0.0016945921535070681,True,"""The orderly movement of a mesenchymal cell from one site to another, often during the development of a multicellular organism."" [GOC:dph, GOC:tb]",59,731,12,21026,0.016415868673050615,0.2033898305084746,query_1,['GO:0001667']
GO:BP,GO:0060284,regulation of cell development,0.001711644086257693,True,"""Any process that modulates the rate, frequency or extent of the progression of the cell over time, from its formation to the mature structure. Cell development does not include the steps involved in committing a cell to a specific fate."" [GOC:dph, GOC:tb]",847,731,58,21026,0.07934336525307797,0.06847697756788666,query_1,"['GO:0045595', 'GO:0048468']"
GO:BP,GO:0002040,sprouting angiogenesis,0.001792347381080095,True,"""The extension of new blood vessels from existing vessels into avascular tissues, this process includes the specialization of endothelial cells into leading tip and stalk cells, proliferation and migration of the endothelial cells and cell adhesion resulting in angiogenic sprout fusion or lumen formation."" [PMID:16391003, PMID:23031691]",132,731,18,21026,0.024623803009575923,0.13636363636363635,query_1,['GO:0001525']
GO:BP,GO:0043434,response to peptide hormone,0.0018085004395723954,True,"""Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a peptide hormone stimulus. A peptide hormone is any of a class of peptides that are secreted into the blood stream and have endocrine functions in living animals."" [PMID:11027914, PMID:15134857, Wikipedia:Peptide_hormone]",440,731,37,21026,0.0506155950752394,0.08409090909090909,query_1,"['GO:0009725', 'GO:1901698', 'GO:1901700']"
GO:BP,GO:0042063,gliogenesis,0.0018921703493380326,True,"""The process that results in the generation of glial cells. This includes the production of glial progenitors and their differentiation into mature glia."" [GOC:dgh, GOC:jid]",352,731,32,21026,0.04377564979480164,0.09090909090909091,query_1,['GO:0022008']
GO:BP,GO:0051146,striated muscle cell differentiation,0.0019071932750746275,True,"""The process in which a relatively unspecialized cell acquires specialized features of a striated muscle cell; striated muscle fibers are divided by transverse bands into striations, and cardiac and voluntary muscle are types of striated muscle."" [CL:0000737, GOC:ai]",301,731,29,21026,0.03967168262653899,0.09634551495016612,query_1,['GO:0042692']
GO:BP,GO:0043066,negative regulation of apoptotic process,0.0021782627458475203,True,"""Any process that stops, prevents, or reduces the frequency, rate or extent of cell death by apoptotic process."" [GOC:jl, GOC:mtg_apoptosis]",874,731,59,21026,0.08071135430916553,0.06750572082379863,query_1,"['GO:0006915', 'GO:0042981', 'GO:0043069']"
GO:BP,GO:0014074,response to purine-containing compound,0.0022808292131823184,True,"""Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a purine-containing compound stimulus."" [GOC:ef]",148,731,19,21026,0.025991792065663474,0.12837837837837837,query_1,['GO:1901698']
GO:BP,GO:0043067,regulation of programmed cell death,0.002473623129999593,True,"""Any process that modulates the frequency, rate or extent of programmed cell death, cell death resulting from activation of endogenous cellular processes."" [GOC:jl]",1506,731,88,21026,0.12038303693570451,0.05843293492695883,query_1,"['GO:0012501', 'GO:0050794']"
GO:BP,GO:0001936,regulation of endothelial cell proliferation,0.002506826648173595,True,"""Any process that modulates the frequency, rate, or extent of endothelial cell proliferation."" [GOC:add]",135,731,18,21026,0.024623803009575923,0.13333333333333333,query_1,"['GO:0001935', 'GO:0050678']"
GO:BP,GO:0042981,regulation of apoptotic process,0.0025356282205843514,True,"""Any process that modulates the occurrence or rate of cell death by apoptotic process."" [GOC:jl, GOC:mtg_apoptosis]",1462,731,86,21026,0.11764705882352941,0.058823529411764705,query_1,"['GO:0006915', 'GO:0043067']"
GO:BP,GO:0048144,fibroblast proliferation,0.002703739240615529,True,"""The multiplication or reproduction of fibroblast cells, resulting in the expansion of the fibroblast population."" [GOC:jid]",109,731,16,21026,0.02188782489740082,0.14678899082568808,query_1,['GO:0008283']
GO:BP,GO:1902533,positive regulation of intracellular signal transduction,0.0027521399432020276,True,"""Any process that activates or increases the frequency, rate or extent of intracellular signal transduction."" [GOC:BHF, GOC:dph, GOC:signaling, GOC:tb, GOC:TermGenie]",1113,731,70,21026,0.09575923392612859,0.06289308176100629,query_1,"['GO:0009967', 'GO:0035556', 'GO:1902531']"
GO:BP,GO:0001503,ossification,0.0028271905977257893,True,"""The formation of bone or of a bony substance, or the conversion of fibrous tissue or of cartilage into bone or a bony substance."" [GOC:mtg_mpo, PMID:17572649]",430,731,36,21026,0.049247606019151846,0.08372093023255814,query_1,['GO:0032501']
GO:BP,GO:0006937,regulation of muscle contraction,0.002989100499305295,True,"""Any process that modulates the frequency, rate or extent of muscle contraction."" [GOC:go_curators]",165,731,20,21026,0.027359781121751026,0.12121212121212122,query_1,"['GO:0006936', 'GO:0090257']"
GO:BP,GO:0046660,female sex differentiation,0.0029909698431690064,True,"""The establishment of the sex of a female organism by physical differentiation."" [GOC:bf]",123,731,17,21026,0.023255813953488372,0.13821138211382114,query_1,"['GO:0007275', 'GO:0007548']"
GO:BP,GO:0097746,blood vessel diameter maintenance,0.0031063048335639204,True,"""Any process that modulates the diameter of blood vessels."" [GOC:pr]",151,731,19,21026,0.025991792065663474,0.12582781456953643,query_1,"['GO:0003018', 'GO:0008015', 'GO:0035296']"
GO:BP,GO:0035296,regulation of tube diameter,0.0031063048335639204,True,"""Any process that modulates the diameter of a tube."" [GOC:bf]",151,731,19,21026,0.025991792065663474,0.12582781456953643,query_1,['GO:0035150']
GO:BP,GO:0030318,melanocyte differentiation,0.0031288193486248388,True,"""The process in which a relatively unspecialized cell acquires specialized features of a melanocyte."" [GOC:mah]",25,731,8,21026,0.01094391244870041,0.32,query_1,['GO:0050931']
GO:BP,GO:0050767,regulation of neurogenesis,0.003151681794841311,True,"""Any process that modulates the frequency, rate or extent of neurogenesis, the generation of cells in the nervous system."" [GOC:ai]",378,731,33,21026,0.04514363885088919,0.0873015873015873,query_1,"['GO:0022008', 'GO:0051960', 'GO:0060284']"
GO:BP,GO:0043069,negative regulation of programmed cell death,0.0031602507927623803,True,"""Any process that stops, prevents, or reduces the frequency, rate or extent of programmed cell death, cell death resulting from activation of endogenous cellular processes."" [GOC:jl]",905,731,60,21026,0.08207934336525308,0.06629834254143646,query_1,"['GO:0012501', 'GO:0043067', 'GO:0048523']"
GO:BP,GO:1902531,regulation of intracellular signal transduction,0.003278000530085988,True,"""Any process that modulates the frequency, rate or extent of intracellular signal transduction."" [GOC:dph, GOC:signaling, GOC:tb, GOC:TermGenie]",1953,731,107,21026,0.146374829001368,0.05478750640040963,query_1,"['GO:0009966', 'GO:0035556']"
GO:BP,GO:0035150,regulation of tube size,0.0034366360158509593,True,"""Ensuring that a tube is of the correct length and diameter. Tube size must be maintained not only during tube formation, but also throughout development and in some physiological processes."" [PMID:10887083]",152,731,19,21026,0.025991792065663474,0.125,query_1,['GO:0090066']
GO:BP,GO:0060025,regulation of synaptic activity,0.0034510174204307334,True,"""Any process that modulates the frequency, rate or extent of synaptic activity, the controlled release of neurotransmitters into the synaptic cleft and their subsequent detection by a postsynaptic cell."" [GOC:dph, GOC:tb]",4,731,4,21026,0.005471956224350205,1.0,query_1,"['GO:0050803', 'GO:0050804']"
GO:BP,GO:0044344,cellular response to fibroblast growth factor stimulus,0.0034657621828061954,True,"""Any process that results in a change in state or activity of a cell (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of an fibroblast growth factor stimulus."" [GOC:jl, GOC:yaf]",111,731,16,21026,0.02188782489740082,0.14414414414414414,query_1,"['GO:0071363', 'GO:0071774']"
